2018-04-04 22:21:11 --> authentication --> login --> login -->  --> 
2018-04-04 22:21:59 --> appraisal_individual_planning --> insert --> planning_id -->  --> 1
2018-04-04 22:21:59 --> appraisal_individual_planning --> insert --> user_id -->  --> 39
2018-04-04 22:21:59 --> appraisal_individual_planning --> insert --> section_column_id -->  --> 2
2018-04-04 22:21:59 --> appraisal_individual_planning --> insert --> item -->  --> test
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> parent_id -->  --> 1
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> planning_id -->  --> 1
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> user_id -->  --> 39
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> section_column_id -->  --> 2
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> item -->  --> ssss
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> planning_id -->  --> 1
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> user_id -->  --> 39
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> item_id -->  --> 1
2018-04-04 22:22:36 --> appraisal_individual_planning --> insert --> section_column_id -->  --> 3
2018-04-04 22:22:37 --> appraisal_individual_planning --> insert --> planning_id -->  --> 1
2018-04-04 22:22:37 --> appraisal_individual_planning --> insert --> user_id -->  --> 39
2018-04-04 22:22:37 --> appraisal_individual_planning --> insert --> item_id -->  --> 1
2018-04-04 22:22:37 --> appraisal_individual_planning --> insert --> section_column_id -->  --> 5
2018-04-04 22:22:37 --> appraisal_individual_planning --> insert --> value -->  --> 1
2018-04-04 22:23:37 --> appraisal_individual_planning --> insert --> planning_id -->  --> 1
2018-04-04 22:23:37 --> appraisal_individual_planning --> insert --> user_id -->  --> 39
2018-04-04 22:23:37 --> appraisal_individual_planning --> insert --> item_id -->  --> 2
2018-04-04 22:23:37 --> appraisal_individual_planning --> insert --> section_column_id -->  --> 3
2018-04-04 22:23:37 --> appraisal_individual_planning --> insert --> planning_id -->  --> 1
2018-04-04 22:23:37 --> appraisal_individual_planning --> insert --> user_id -->  --> 39
2018-04-04 22:23:38 --> appraisal_individual_planning --> insert --> item_id -->  --> 2
2018-04-04 22:23:38 --> appraisal_individual_planning --> insert --> section_column_id -->  --> 5
2018-04-04 22:23:38 --> appraisal_individual_planning --> insert --> value -->  --> 1
2018-04-04 22:23:38 --> appraisal_individual_planning --> delete --> performance_planning_applicable_items - item_id --> 1 --> 
2018-04-04 22:23:42 --> appraisal_individual_planning --> delete --> performance_planning_applicable_items - item_id --> 2 --> 
