2018-04-16 12:15:17 --> authentication --> login --> login -->  --> 
2018-04-16 14:42:21 --> performance_appraisal --> insert --> planning_id -->  --> 1
2018-04-16 14:42:21 --> performance_appraisal --> insert --> date_from -->  --> 2018-04-16
2018-04-16 14:42:21 --> performance_appraisal --> insert --> date_to -->  --> 2018-04-30
2018-04-16 14:42:21 --> performance_appraisal --> insert --> year -->  --> 2018
2018-04-16 14:42:21 --> performance_appraisal --> insert --> performance_type_id -->  --> 1
2018-04-16 14:42:21 --> performance_appraisal --> insert --> template_id -->  --> 1
2018-04-16 14:42:21 --> performance_appraisal --> insert --> employment_status_id -->  --> 3,1,2
2018-04-16 14:42:21 --> performance_appraisal --> insert --> filter_by -->  --> 1
2018-04-16 14:42:21 --> performance_appraisal --> insert --> filter_id -->  --> 1
2018-04-16 14:42:21 --> performance_appraisal --> insert --> notes -->  --> test
2018-04-16 14:42:21 --> performance_appraisal --> insert --> status_id -->  --> 1
2018-04-16 14:42:48 --> performance_appraisal --> insert --> planning_id -->  --> 1
2018-04-16 14:42:48 --> performance_appraisal --> insert --> date_from -->  --> 2018-04-16
2018-04-16 14:42:48 --> performance_appraisal --> insert --> date_to -->  --> 2018-04-30
2018-04-16 14:42:48 --> performance_appraisal --> insert --> year -->  --> 2018
2018-04-16 14:42:48 --> performance_appraisal --> insert --> performance_type_id -->  --> 1
2018-04-16 14:42:48 --> performance_appraisal --> insert --> template_id -->  --> 1
2018-04-16 14:42:48 --> performance_appraisal --> insert --> employment_status_id -->  --> 3,1,2
2018-04-16 14:42:48 --> performance_appraisal --> insert --> filter_by -->  --> 1
2018-04-16 14:42:48 --> performance_appraisal --> insert --> filter_id -->  --> 1
2018-04-16 14:42:48 --> performance_appraisal --> insert --> notes -->  --> test
2018-04-16 14:42:48 --> performance_appraisal --> insert --> status_id -->  --> 1
2018-04-16 14:44:28 --> performance_appraisal --> insert --> planning_id -->  --> 1
2018-04-16 14:44:28 --> performance_appraisal --> insert --> date_from -->  --> 2018-04-16
2018-04-16 14:44:28 --> performance_appraisal --> insert --> date_to -->  --> 2018-04-30
2018-04-16 14:44:28 --> performance_appraisal --> insert --> year -->  --> 2018
2018-04-16 14:44:28 --> performance_appraisal --> insert --> performance_type_id -->  --> 1
2018-04-16 14:44:28 --> performance_appraisal --> insert --> template_id -->  --> 1
2018-04-16 14:44:28 --> performance_appraisal --> insert --> employment_status_id -->  --> 3,1,2
2018-04-16 14:44:28 --> performance_appraisal --> insert --> filter_by -->  --> 1
2018-04-16 14:44:28 --> performance_appraisal --> insert --> filter_id -->  --> 1
2018-04-16 14:44:28 --> performance_appraisal --> insert --> notes -->  --> test
2018-04-16 14:44:28 --> performance_appraisal --> insert --> status_id -->  --> 1
2018-04-16 14:45:44 --> performance_appraisal --> insert --> planning_id -->  --> 1
2018-04-16 14:45:44 --> performance_appraisal --> insert --> date_from -->  --> 2018-04-16
2018-04-16 14:45:44 --> performance_appraisal --> insert --> date_to -->  --> 2018-04-30
2018-04-16 14:45:44 --> performance_appraisal --> insert --> year -->  --> 2018
2018-04-16 14:45:44 --> performance_appraisal --> insert --> performance_type_id -->  --> 1
2018-04-16 14:45:44 --> performance_appraisal --> insert --> template_id -->  --> 1
2018-04-16 14:45:44 --> performance_appraisal --> insert --> employment_status_id -->  --> 3,1,2
2018-04-16 14:45:44 --> performance_appraisal --> insert --> filter_by -->  --> 1
2018-04-16 14:45:44 --> performance_appraisal --> insert --> filter_id -->  --> 1
2018-04-16 14:45:44 --> performance_appraisal --> insert --> notes -->  --> test
2018-04-16 14:45:45 --> performance_appraisal --> insert --> status_id -->  --> 1
2018-04-16 15:10:34 --> performance_appraisal --> insert --> planning_id -->  --> 1
2018-04-16 15:10:34 --> performance_appraisal --> insert --> date_from -->  --> 2018-04-16
2018-04-16 15:10:34 --> performance_appraisal --> insert --> date_to -->  --> 2018-04-23
2018-04-16 15:10:34 --> performance_appraisal --> insert --> year -->  --> 2018
2018-04-16 15:10:34 --> performance_appraisal --> insert --> performance_type_id -->  --> 1
2018-04-16 15:10:35 --> performance_appraisal --> insert --> template_id -->  --> 1
2018-04-16 15:10:35 --> performance_appraisal --> insert --> employment_status_id -->  --> 3,1,2
2018-04-16 15:10:35 --> performance_appraisal --> insert --> filter_by -->  --> 1
2018-04-16 15:10:35 --> performance_appraisal --> insert --> filter_id -->  --> 1
2018-04-16 15:10:35 --> performance_appraisal --> insert --> notes -->  --> dd
2018-04-16 15:10:35 --> performance_appraisal --> insert --> status_id -->  --> 1
2018-04-16 15:11:15 --> performance_appraisal --> insert --> planning_id -->  --> 1
2018-04-16 15:11:15 --> performance_appraisal --> insert --> date_from -->  --> 2018-04-16
2018-04-16 15:11:15 --> performance_appraisal --> insert --> date_to -->  --> 2018-04-23
2018-04-16 15:11:15 --> performance_appraisal --> insert --> year -->  --> 2018
2018-04-16 15:11:15 --> performance_appraisal --> insert --> performance_type_id -->  --> 1
2018-04-16 15:11:16 --> performance_appraisal --> insert --> template_id -->  --> 1
2018-04-16 15:11:16 --> performance_appraisal --> insert --> employment_status_id -->  --> 3,1,2
2018-04-16 15:11:16 --> performance_appraisal --> insert --> filter_by -->  --> 1
2018-04-16 15:11:16 --> performance_appraisal --> insert --> filter_id -->  --> 1
